DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Size
2key,2,115,25,Right,Right,Alt,1
2key,2,116,26,Right,Right,CMD_Shift,2
2key,2,117,27,Left,Middle,CMD,1
2key,2,118,28,Middle,Left,CMD,2
2key,2,119,29,Left,Right,CMD,2
2key,2,120,30,Left,Right,CMD_Shift,1
2key,2,121,31,Right,Left,CMD_Alt_Shift,1
2key,2,122,32,Middle,Middle,None,2
2key,2,123,33,Left,Left,None,2
2key,2,124,34,Right,Left,None,1
2key,2,125,35,Left,Right,CMD,1
2key,2,126,36,Middle,Right,CMD,2
2key,2,127,37,Right,Left,CMD,2
2key,2,128,38,Right,Left,CMD_Alt_Shift,2
2key,2,129,39,Right,Middle,None,1
2key,2,130,40,Left,Middle,CMD_Shift,1
2key,2,131,41,Right,Right,CMD,2
2key,2,132,42,Middle,Left,None,2
2key,2,133,43,Middle,Left,None,1
2key,2,134,44,Left,Middle,CMD_Shift,2
2key,2,135,45,Left,Middle,None,1
2key,2,136,46,Left,Middle,CMD_Alt_Shift,2
2key,2,137,47,Right,Right,None,1
2key,2,138,48,Left,Middle,CMD,2
2key,2,139,49,Left,Middle,None,2
2key,2,140,50,Left,Left,Alt,2
2key,2,141,51,Middle,Middle,Alt,1
2key,2,142,52,Middle,Right,None,2
2key,2,143,53,Middle,Left,Alt,1
2key,2,144,54,Right,Left,None,2
2key,2,145,55,Right,Left,CMD_Shift,1
2key,2,146,56,Middle,Right,None,1
2key,2,147,57,Right,Right,None,2
2key,2,148,58,Middle,Left,CMD_Shift,2
2key,2,149,59,Middle,Middle,CMD_Shift,1
2key,2,150,60,Middle,Middle,CMD,2
2key,2,151,61,Left,Right,CMD_Shift,2
2key,2,152,62,Right,Middle,Alt,2
2key,2,153,63,Right,Right,CMD_Shift,1
2key,2,154,64,Middle,Middle,Alt,2
2key,2,155,65,Left,Right,Alt,1
2key,2,156,66,Right,Left,CMD,1
2key,2,157,67,Left,Right,Alt,2
2key,2,158,68,Left,Right,CMD_Alt_Shift,2
2key,2,159,69,Middle,Middle,CMD_Alt_Shift,1
2key,2,160,70,Right,Middle,None,2
2key,2,161,71,Middle,Left,Alt,2
2key,2,162,72,Right,Middle,Alt,1
2key,2,163,73,Middle,Right,Alt,2
2key,2,164,74,Left,Middle,Alt,2
2key,2,165,75,Right,Right,CMD,1
2key,2,166,76,Middle,Middle,None,1
2key,2,167,77,Left,Left,Alt,1
2key,2,168,78,Left,Left,CMD,2
2key,2,169,79,Middle,Left,CMD,1
2key,2,170,80,Left,Left,CMD_Shift,2
2key,2,171,81,Right,Right,CMD_Alt_Shift,2
2key,2,172,82,Left,Middle,Alt,1
2key,2,173,83,Right,Middle,CMD,2
2key,2,174,84,Middle,Right,Alt,1
2key,2,175,85,Left,Left,CMD,1
2key,2,176,86,Left,Right,CMD_Alt_Shift,1
2key,2,177,87,Middle,Middle,CMD,1
2key,2,178,88,Right,Middle,CMD,1
2key,2,179,89,Right,Left,CMD_Shift,2
2key,2,180,90,Middle,Left,CMD_Shift,1
2key,3,181,1,Middle,Middle,CMD_Alt_Shift,1
2key,3,182,2,Middle,Right,CMD,2
2key,3,183,3,Middle,Left,CMD_Alt_Shift,2
2key,3,184,4,Left,Right,CMD,1
2key,3,185,5,Middle,Middle,None,1
2key,3,186,6,Middle,Right,CMD_Alt_Shift,1
2key,3,187,7,Left,Left,None,2
2key,3,188,8,Middle,Right,CMD_Alt_Shift,2
2key,3,189,9,Right,Right,None,1
2key,3,190,10,Middle,Right,None,1
2key,3,191,11,Right,Left,None,1
2key,3,192,12,Middle,Right,CMD_Shift,2
2key,3,193,13,Right,Left,Alt,2
2key,3,194,14,Right,Left,CMD_Shift,1
2key,3,195,15,Right,Right,CMD_Shift,1
2key,3,196,16,Right,Middle,CMD_Alt_Shift,2
2key,3,197,17,Left,Middle,None,1
2key,3,198,18,Right,Right,CMD_Alt_Shift,2
2key,3,199,19,Right,Middle,CMD_Shift,2
2key,3,200,20,Right,Middle,CMD_Alt_Shift,1
2key,3,201,21,Left,Middle,CMD_Alt_Shift,2
2key,3,202,22,Left,Right,None,2
2key,3,203,23,Left,Left,CMD_Shift,2
2key,3,204,24,Left,Left,CMD_Alt_Shift,2
2key,3,205,25,Right,Right,Alt,2
2key,3,206,26,Right,Right,CMD_Alt_Shift,1
2key,3,207,27,Left,Middle,CMD,2
2key,3,208,28,Middle,Left,Alt,1
2key,3,209,29,Left,Right,Alt,1
2key,3,210,30,Left,Right,CMD_Shift,2
2key,3,211,31,Right,Left,CMD_Alt_Shift,2
2key,3,212,32,Middle,Middle,CMD,1
2key,3,213,33,Left,Left,CMD,1
2key,3,214,34,Right,Left,None,2
2key,3,215,35,Left,Right,CMD,2
2key,3,216,36,Middle,Right,Alt,1
2key,3,217,37,Right,Left,Alt,1
2key,3,218,38,Right,Middle,None,1
2key,3,219,39,Right,Middle,None,2
2key,3,220,40,Left,Middle,CMD_Shift,2
2key,3,221,41,Right,Right,Alt,1
2key,3,222,42,Middle,Left,CMD,1
2key,3,223,43,Middle,Left,None,2
2key,3,224,44,Left,Middle,CMD_Alt_Shift,1
2key,3,225,45,Left,Middle,None,2
2key,3,226,46,Left,Right,None,1
2key,3,227,47,Right,Right,None,2
2key,3,228,48,Left,Middle,Alt,1
2key,3,229,49,Left,Middle,CMD,1
2key,3,230,50,Left,Left,CMD_Shift,1
2key,3,231,51,Middle,Middle,Alt,2
2key,3,232,52,Middle,Right,CMD,1
2key,3,233,53,Middle,Left,Alt,2
2key,3,234,54,Right,Left,CMD,1
2key,3,235,55,Right,Left,CMD_Shift,2
2key,3,236,56,Middle,Right,None,2
2key,3,237,57,Right,Right,CMD,1
2key,3,238,58,Middle,Left,CMD_Alt_Shift,1
2key,3,239,59,Middle,Middle,CMD_Shift,2
2key,3,240,60,Middle,Middle,Alt,1
2key,3,241,61,Left,Right,CMD_Alt_Shift,1
2key,3,242,62,Right,Middle,CMD_Shift,1
2key,3,243,63,Right,Right,CMD_Shift,2
2key,3,244,64,Middle,Middle,CMD_Shift,1
2key,3,245,65,Left,Right,Alt,2
2key,3,246,66,Right,Left,CMD,2
2key,3,247,67,Left,Right,CMD_Shift,1
2key,3,248,68,Middle,Left,None,1
2key,3,249,69,Middle,Middle,CMD_Alt_Shift,2
2key,3,250,70,Right,Middle,CMD,1
2key,3,251,71,Middle,Left,CMD_Shift,1
2key,3,252,72,Right,Middle,Alt,2
2key,3,253,73,Middle,Right,CMD_Shift,1
2key,3,254,74,Left,Middle,CMD_Shift,1
2key,3,255,75,Right,Right,CMD,2
2key,3,256,76,Middle,Middle,None,2
2key,3,257,77,Left,Left,Alt,2
2key,3,258,78,Left,Left,Alt,1
2key,3,259,79,Middle,Left,CMD,2
2key,3,260,80,Left,Left,CMD_Alt_Shift,1
2key,3,261,81,Left,Left,None,1
2key,3,262,82,Left,Middle,Alt,2
2key,3,263,83,Right,Middle,Alt,1
2key,3,264,84,Middle,Right,Alt,2
2key,3,265,85,Left,Left,CMD,2
2key,3,266,86,Left,Right,CMD_Alt_Shift,2
2key,3,267,87,Middle,Middle,CMD,2
2key,3,268,88,Right,Middle,CMD,2
2key,3,269,89,Right,Left,CMD_Alt_Shift,1
2key,3,270,90,Middle,Left,CMD_Shift,2
2key,4,271,1,Middle,Middle,CMD_Alt_Shift,2
2key,4,272,2,Middle,Right,Alt,1
2key,4,273,3,Middle,Middle,None,1
2key,4,274,4,Left,Right,CMD,2
2key,4,275,5,Middle,Middle,None,2
2key,4,276,6,Middle,Right,CMD_Alt_Shift,2
2key,4,277,7,Left,Left,CMD,1
2key,4,278,8,Right,Left,None,1
2key,4,279,9,Right,Right,None,2
2key,4,280,10,Middle,Right,None,2
2key,4,281,11,Right,Left,None,2
2key,4,282,12,Middle,Right,CMD_Alt_Shift,1
2key,4,283,13,Right,Left,CMD_Shift,1
2key,4,284,14,Right,Left,CMD_Shift,2
2key,4,285,15,Right,Right,CMD_Shift,2
2key,4,286,16,Right,Right,None,1
2key,4,287,17,Left,Middle,None,2
2key,4,288,18,Left,Left,None,1
2key,4,289,19,Right,Middle,CMD_Alt_Shift,1
2key,4,290,20,Right,Middle,CMD_Alt_Shift,2
2key,4,291,21,Left,Right,None,1
2key,4,292,22,Left,Right,CMD,1
2key,4,293,23,Left,Left,CMD_Alt_Shift,1
2key,4,294,24,Left,Middle,None,1
2key,4,295,25,Right,Right,CMD_Shift,1
2key,4,296,26,Right,Right,CMD_Alt_Shift,2
2key,4,297,27,Left,Middle,Alt,1
2key,4,298,28,Middle,Left,Alt,2
2key,4,299,29,Left,Right,Alt,2
2key,4,300,30,Left,Right,CMD_Alt_Shift,1
2key,4,301,31,Right,Middle,None,1
2key,4,302,32,Middle,Middle,CMD,2
2key,4,303,33,Left,Left,CMD,2
