DesignName,ParticipantID,TrialID,Block1,Block2,Block,Size,Repeat,NbAngle
GestureMultiAngle,3,122,4,2,4,1,1,2
GestureMultiAngle,3,123,4,3,4,3,1,1
GestureMultiAngle,3,124,4,4,4,2,1,2
GestureMultiAngle,3,125,4,5,4,3,1,2
GestureMultiAngle,3,126,4,6,4,4,1,1
GestureMultiAngle,3,127,4,7,4,4,1,2
GestureMultiAngle,3,128,4,8,4,2,1,1
GestureMultiAngle,3,129,5,1,5,1,1,1
GestureMultiAngle,3,130,5,2,5,1,1,2
GestureMultiAngle,3,131,5,3,5,3,1,1
GestureMultiAngle,3,132,5,4,5,2,1,2
GestureMultiAngle,3,133,5,5,5,3,1,2
GestureMultiAngle,3,134,5,6,5,4,1,1
GestureMultiAngle,3,135,5,7,5,4,1,2
GestureMultiAngle,3,136,5,8,5,2,1,1
GestureMultiAngle,3,137,6,1,6,1,1,1
GestureMultiAngle,3,138,6,2,6,1,1,2
GestureMultiAngle,3,139,6,3,6,3,1,1
GestureMultiAngle,3,140,6,4,6,2,1,2
GestureMultiAngle,3,141,6,5,6,3,1,2
GestureMultiAngle,3,142,6,6,6,4,1,1
GestureMultiAngle,3,143,6,7,6,4,1,2
GestureMultiAngle,3,144,6,8,6,2,1,1
GestureMultiAngle,4,145,1,1,1,1,1,2
GestureMultiAngle,4,146,1,2,1,2,1,1
GestureMultiAngle,4,147,1,3,1,3,1,2
GestureMultiAngle,4,148,1,4,1,3,1,1
GestureMultiAngle,4,149,1,5,1,4,1,1
GestureMultiAngle,4,150,1,6,1,4,1,2
GestureMultiAngle,4,151,1,7,1,1,1,1
GestureMultiAngle,4,152,1,8,1,2,1,2
GestureMultiAngle,4,153,2,1,2,1,1,2
GestureMultiAngle,4,154,2,2,2,2,1,1
GestureMultiAngle,4,155,2,3,2,3,1,2
GestureMultiAngle,4,156,2,4,2,3,1,1
GestureMultiAngle,4,157,2,5,2,4,1,1
GestureMultiAngle,4,158,2,6,2,4,1,2
GestureMultiAngle,4,159,2,7,2,1,1,1
GestureMultiAngle,4,160,2,8,2,2,1,2
GestureMultiAngle,4,161,3,1,3,1,1,2
GestureMultiAngle,4,162,3,2,3,2,1,1
GestureMultiAngle,4,163,3,3,3,3,1,2
GestureMultiAngle,4,164,3,4,3,3,1,1
GestureMultiAngle,4,165,3,5,3,4,1,1
GestureMultiAngle,4,166,3,6,3,4,1,2
GestureMultiAngle,4,167,3,7,3,1,1,1
GestureMultiAngle,4,168,3,8,3,2,1,2
GestureMultiAngle,4,169,4,1,4,1,1,2
GestureMultiAngle,4,170,4,2,4,2,1,1
GestureMultiAngle,4,171,4,3,4,3,1,2
GestureMultiAngle,4,172,4,4,4,3,1,1
GestureMultiAngle,4,173,4,5,4,4,1,1
GestureMultiAngle,4,174,4,6,4,4,1,2
GestureMultiAngle,4,175,4,7,4,1,1,1
GestureMultiAngle,4,176,4,8,4,2,1,2
GestureMultiAngle,4,177,5,1,5,1,1,2
GestureMultiAngle,4,178,5,2,5,2,1,1
GestureMultiAngle,4,179,5,3,5,3,1,2
GestureMultiAngle,4,180,5,4,5,3,1,1
GestureMultiAngle,4,181,5,5,5,4,1,1
GestureMultiAngle,4,182,5,6,5,4,1,2
GestureMultiAngle,4,183,5,7,5,1,1,1
GestureMultiAngle,4,184,5,8,5,2,1,2
GestureMultiAngle,4,185,6,1,6,1,1,2
GestureMultiAngle,4,186,6,2,6,2,1,1
GestureMultiAngle,4,187,6,3,6,3,1,2
GestureMultiAngle,4,188,6,4,6,3,1,1
GestureMultiAngle,4,189,6,5,6,4,1,1
GestureMultiAngle,4,190,6,6,6,4,1,2
GestureMultiAngle,4,191,6,7,6,1,1,1
GestureMultiAngle,4,192,6,8,6,2,1,2
GestureMultiAngle,5,193,1,1,1,2,1,1
GestureMultiAngle,5,194,1,2,1,2,1,2
GestureMultiAngle,5,195,1,3,1,4,1,1
GestureMultiAngle,5,196,1,4,1,3,1,2
GestureMultiAngle,5,197,1,5,1,4,1,2
GestureMultiAngle,5,198,1,6,1,1,1,1
GestureMultiAngle,5,199,1,7,1,1,1,2
GestureMultiAngle,5,200,1,8,1,3,1,1
GestureMultiAngle,5,201,2,1,2,2,1,1
GestureMultiAngle,5,202,2,2,2,2,1,2
GestureMultiAngle,5,203,2,3,2,4,1,1
GestureMultiAngle,5,204,2,4,2,3,1,2
GestureMultiAngle,5,205,2,5,2,4,1,2
GestureMultiAngle,5,206,2,6,2,1,1,1
GestureMultiAngle,5,207,2,7,2,1,1,2
GestureMultiAngle,5,208,2,8,2,3,1,1
GestureMultiAngle,5,209,3,1,3,2,1,1
GestureMultiAngle,5,210,3,2,3,2,1,2
GestureMultiAngle,5,211,3,3,3,4,1,1
GestureMultiAngle,5,212,3,4,3,3,1,2
GestureMultiAngle,5,213,3,5,3,4,1,2
GestureMultiAngle,5,214,3,6,3,1,1,1
GestureMultiAngle,5,215,3,7,3,1,1,2
GestureMultiAngle,5,216,3,8,3,3,1,1
GestureMultiAngle,5,217,4,1,4,2,1,1
GestureMultiAngle,5,218,4,2,4,2,1,2
