DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,37,2593,1,1,3,NaN,1,NaN,1,B,Ctrl,3.544,NaN,NaN,3.767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.693,3.767,1,NaN,NaN,NaN,NaN,NaN,NaN,254
KeyMultiRepeat,37,2594,1,2,3,NaN,1,NaN,3,K,Ctrl,3.064,NaN,NaN,3.304,B,Ctrl,1.159,NaN,NaN,1.159,I,Ctrl,0.555,NaN,NaN,0.555,NaN,NaN,NaN,NaN,NaN,NaN,1.556,3.304,1,NaN,1.159,1,NaN,0.555,1,540
KeyMultiRepeat,37,2595,1,3,4,NaN,1,NaN,1,X,Ctrl,1.721,NaN,NaN,1.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.493,1.882,1,NaN,NaN,NaN,NaN,NaN,NaN,679
KeyMultiRepeat,37,2596,1,4,1,NaN,1,NaN,2,X,Ctrl,1.686,NaN,NaN,1.791,X,Ctrl,0.404,NaN,NaN,0.404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.471,1.791,1,NaN,0.404,1,NaN,NaN,NaN,215
KeyMultiRepeat,37,2597,1,5,2,NaN,1,NaN,1,A,Ctrl,1.1,NaN,NaN,1.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.86,1.438,1,NaN,NaN,NaN,NaN,NaN,NaN,472
KeyMultiRepeat,37,2598,1,6,4,NaN,1,NaN,3,X,Ctrl,1.032,NaN,NaN,1.509,B,Ctrl,0.837,NaN,NaN,0.837,B,Ctrl,0.176,NaN,NaN,0.176,NaN,NaN,NaN,NaN,NaN,NaN,0.771,1.509,1,NaN,0.837,1,NaN,0.176,1,324
KeyMultiRepeat,37,2599,1,7,2,NaN,1,NaN,3,X,Ctrl,1.841,NaN,NaN,2.554,X,Ctrl,0.313,NaN,NaN,0.313,K,Ctrl,0.656,NaN,NaN,0.656,NaN,NaN,NaN,NaN,NaN,NaN,1.35,2.554,1,NaN,0.313,1,NaN,0.656,1,261
KeyMultiRepeat,37,2600,1,8,1,NaN,1,NaN,1,K,Ctrl,2.006,NaN,NaN,3.319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.706,3.319,2,NaN,NaN,NaN,NaN,NaN,NaN,598
KeyMultiRepeat,37,2601,1,9,3,NaN,1,NaN,2,A,Ctrl,1.526,NaN,NaN,2.076,X,Ctrl,0.827,NaN,NaN,0.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.194,2.076,1,NaN,0.827,1,NaN,NaN,NaN,315
KeyMultiRepeat,37,2602,1,10,4,NaN,1,NaN,2,K,Ctrl,2.298,NaN,NaN,2.432,X,Ctrl,0.965,NaN,NaN,1.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.648,2.432,1,NaN,1.071,1,NaN,NaN,NaN,514
KeyMultiRepeat,37,2603,1,11,1,NaN,1,NaN,3,X,Ctrl,3.349,NaN,NaN,3.432,X,Ctrl,0.296,NaN,NaN,0.422,K,Ctrl,1.026,NaN,NaN,1.026,NaN,NaN,NaN,NaN,NaN,NaN,3.113,3.432,1,NaN,0.422,1,NaN,1.026,1,604
KeyMultiRepeat,37,2604,1,12,2,NaN,1,NaN,2,A,Ctrl,2.688,NaN,NaN,2.854,Y,Ctrl,0.562,NaN,NaN,1.266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.381,2.854,2,NaN,1.266,1,NaN,NaN,NaN,157
KeyMultiRepeat,37,2605,2,1,3,NaN,1,NaN,1,Y,Ctrl,1.334,NaN,NaN,1.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.668,1.787,1,NaN,NaN,NaN,NaN,NaN,NaN,286
KeyMultiRepeat,37,2606,2,2,3,NaN,1,NaN,3,X,Ctrl,1.17,NaN,NaN,1.545,Y,Ctrl,1,NaN,NaN,1,B,Ctrl,0.702,NaN,NaN,0.702,NaN,NaN,NaN,NaN,NaN,NaN,0.882,1.545,1,NaN,1,1,NaN,0.702,1,183
