DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,14,937,1,1,3,NaN,1,NaN,2,I,CMD,2.648,NaN,NaN,3.181,K,CMD,0.581,NaN,NaN,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.385,3.182,1,NaN,0.79,1,NaN,NaN,NaN,595
KeyMultiRepeat,14,938,1,2,4,NaN,1,NaN,1,K,CMD,1.539,NaN,NaN,1.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.025,1.828,1,NaN,NaN,NaN,NaN,NaN,NaN,520
KeyMultiRepeat,14,939,1,3,4,NaN,1,NaN,2,B,CMD,1.234,NaN,NaN,1.473,I,CMD,0.352,NaN,NaN,0.524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.691,1.473,1,NaN,0.524,1,NaN,NaN,NaN,557
KeyMultiRepeat,14,940,1,4,1,NaN,1,NaN,3,B,CMD,1.577,NaN,NaN,1.841,K,CMD,0.368,NaN,NaN,0.715,A,CMD,0.401,NaN,NaN,0.857,NaN,NaN,NaN,NaN,NaN,NaN,1.194,1.841,1,NaN,0.715,1,NaN,0.857,1,257
KeyMultiRepeat,14,941,1,5,2,NaN,1,NaN,2,I,CMD,1.884,NaN,NaN,2.095,I,CMD,0.323,NaN,NaN,0.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.176,2.095,1,NaN,0.61,1,NaN,NaN,NaN,75
KeyMultiRepeat,14,942,1,6,1,NaN,1,NaN,1,A,CMD,2.313,NaN,NaN,2.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.136,2.563,1,NaN,NaN,NaN,NaN,NaN,NaN,452
KeyMultiRepeat,14,943,1,7,3,NaN,1,NaN,1,K,CMD,2.375,NaN,NaN,2.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.107,2.516,2,NaN,NaN,NaN,NaN,NaN,NaN,922
KeyMultiRepeat,14,944,1,8,1,NaN,1,NaN,2,A,CMD,1.706,NaN,NaN,3.358,X,CMD,1.324,NaN,NaN,1.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.007,3.358,2,NaN,1.559,1,NaN,NaN,NaN,204
KeyMultiRepeat,14,945,1,9,3,NaN,1,NaN,3,A,CMD,2.11,NaN,NaN,2.35,K,CMD,0.524,NaN,NaN,0.972,I,CMD,0.347,NaN,NaN,0.745,NaN,NaN,NaN,NaN,NaN,NaN,1.192,2.351,1,NaN,0.972,1,NaN,0.745,1,456
KeyMultiRepeat,14,946,1,10,4,NaN,1,NaN,3,B,CMD,1.791,NaN,NaN,2.189,X,CMD,0.385,NaN,NaN,0.821,A,CMD,0.479,NaN,NaN,0.986,NaN,NaN,NaN,NaN,NaN,NaN,1.177,2.189,1,NaN,0.821,1,NaN,0.986,1,491
KeyMultiRepeat,14,947,1,11,2,NaN,1,NaN,1,I,CMD,1.318,NaN,NaN,1.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.825,1.563,1,NaN,NaN,NaN,NaN,NaN,NaN,707
KeyMultiRepeat,14,948,1,12,2,NaN,1,NaN,3,A,CMD,1.782,NaN,NaN,2.287,B,CMD,0.51,NaN,NaN,1.078,Y,CMD,0.463,NaN,NaN,1.162,NaN,NaN,NaN,NaN,NaN,NaN,1.266,2.287,1,NaN,1.078,1,NaN,1.162,1,678
KeyMultiRepeat,14,949,2,1,3,NaN,1,NaN,2,I,CMD,1.389,NaN,NaN,1.683,I,CMD,0.293,NaN,NaN,0.518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.906,1.683,1,NaN,0.518,1,NaN,NaN,NaN,261
KeyMultiRepeat,14,950,2,2,4,NaN,1,NaN,1,B,CMD,1.414,NaN,NaN,1.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.864,1.687,1,NaN,NaN,NaN,NaN,NaN,NaN,277
KeyMultiRepeat,14,951,2,3,4,NaN,1,NaN,2,B,CMD,1.483,NaN,NaN,1.715,I,CMD,0.252,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.896,1.715,1,NaN,0.5,1,NaN,NaN,NaN,795
KeyMultiRepeat,14,952,2,4,1,NaN,1,NaN,3,Y,CMD,1.752,NaN,NaN,2.032,K,CMD,0.303,NaN,NaN,0.63,A,CMD,0.551,NaN,NaN,0.825,NaN,NaN,NaN,NaN,NaN,NaN,1.079,2.032,1,NaN,0.63,1,NaN,0.825,1,331
KeyMultiRepeat,14,953,2,5,2,NaN,1,NaN,2,K,CMD,1.279,NaN,NaN,1.511,B,CMD,0.397,NaN,NaN,0.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.862,1.511,1,NaN,0.618,1,NaN,NaN,NaN,497
KeyMultiRepeat,14,954,2,6,1,NaN,1,NaN,1,B,CMD,1.488,NaN,NaN,1.701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.034,1.701,1,NaN,NaN,NaN,NaN,NaN,NaN,1010
KeyMultiRepeat,14,955,2,7,3,NaN,1,NaN,1,K,CMD,1.144,NaN,NaN,1.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.755,1.477,1,NaN,NaN,NaN,NaN,NaN,NaN,133
KeyMultiRepeat,14,956,2,8,1,NaN,1,NaN,2,B,CMD,1.718,NaN,NaN,1.996,Y,CMD,0.307,NaN,NaN,0.651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.117,1.996,1,NaN,0.651,1,NaN,NaN,NaN,1034
KeyMultiRepeat,14,957,2,9,3,NaN,1,NaN,3,I,CMD,1.559,NaN,NaN,1.832,I,CMD,0.278,NaN,NaN,0.567,X,CMD,0.461,NaN,NaN,0.776,NaN,NaN,NaN,NaN,NaN,NaN,0.914,1.832,1,NaN,0.567,1,NaN,0.776,1,877
KeyMultiRepeat,14,958,2,10,4,NaN,1,NaN,3,X,CMD,1.589,NaN,NaN,1.864,A,CMD,0.413,NaN,NaN,0.718,X,CMD,0.282,NaN,NaN,0.646,NaN,NaN,NaN,NaN,NaN,NaN,0.769,1.864,1,NaN,0.718,1,NaN,0.646,1,320
KeyMultiRepeat,14,959,2,11,2,NaN,1,NaN,1,B,CMD,1.571,NaN,NaN,1.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.958,1.788,1,NaN,NaN,NaN,NaN,NaN,NaN,907
KeyMultiRepeat,14,960,2,12,2,NaN,1,NaN,3,Y,CMD,1.543,NaN,NaN,1.828,Y,CMD,0.296,NaN,NaN,0.52,I,CMD,0.346,NaN,NaN,0.608,NaN,NaN,NaN,NaN,NaN,NaN,1.04,1.828,1,NaN,0.52,1,NaN,0.608,1,155
KeyMultiRepeat,14,961,3,1,3,NaN,1,NaN,2,B,CMD,1.494,NaN,NaN,1.678,I,CMD,0.264,NaN,NaN,0.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.897,1.678,1,NaN,0.416,1,NaN,NaN,NaN,1029
KeyMultiRepeat,14,962,3,2,4,NaN,1,NaN,1,B,CMD,1.174,NaN,NaN,1.394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.776,1.394,1,NaN,NaN,NaN,NaN,NaN,NaN,429
KeyMultiRepeat,14,963,3,3,4,NaN,1,NaN,2,X,CMD,1.084,NaN,NaN,1.37,I,CMD,0.287,NaN,NaN,0.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.728,1.37,1,NaN,0.588,1,NaN,NaN,NaN,676
