DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,9,577,1,1,1,NaN,1,NaN,3,K,Ctrl,1.923,NaN,NaN,2.141,I,Ctrl,0.657,NaN,NaN,0.657,A,Ctrl,0.248,NaN,NaN,0.248,NaN,NaN,NaN,NaN,NaN,NaN,1.34,2.141,1,NaN,0.657,1,NaN,0.248,1,397
KeyMultiRepeat,9,578,1,2,2,NaN,1,NaN,2,K,Ctrl,1.101,NaN,NaN,1.442,B,Ctrl,0.41,NaN,NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.89,1.442,1,NaN,0.41,1,NaN,NaN,NaN,164
KeyMultiRepeat,9,579,1,3,2,NaN,1,NaN,3,I,Ctrl,1.341,NaN,NaN,1.557,K,Ctrl,0.22,NaN,NaN,0.22,A,Ctrl,0.291,NaN,NaN,0.291,NaN,NaN,NaN,NaN,NaN,NaN,0.995,1.557,1,NaN,0.22,1,NaN,0.291,1,898
KeyMultiRepeat,9,580,1,4,4,NaN,1,NaN,1,I,Ctrl,0.829,NaN,NaN,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.654,1.069,1,NaN,NaN,NaN,NaN,NaN,NaN,412
KeyMultiRepeat,9,581,1,5,4,NaN,1,NaN,3,I,Ctrl,0.876,NaN,NaN,1.111,B,Ctrl,0.24,NaN,NaN,0.24,I,Ctrl,0.166,NaN,NaN,0.166,NaN,NaN,NaN,NaN,NaN,NaN,0.582,1.111,1,NaN,0.24,1,NaN,0.166,1,386
KeyMultiRepeat,9,582,1,6,3,NaN,1,NaN,2,K,Ctrl,0.71,NaN,NaN,0.992,K,Ctrl,0.12,NaN,NaN,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.605,0.992,1,NaN,0.12,1,NaN,NaN,NaN,641
KeyMultiRepeat,9,583,1,7,1,NaN,1,NaN,2,I,Ctrl,1.148,NaN,NaN,1.365,Y,Ctrl,0.157,NaN,NaN,0.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.953,1.365,1,NaN,0.157,1,NaN,NaN,NaN,306
KeyMultiRepeat,9,584,1,8,3,NaN,1,NaN,3,K,Ctrl,1.092,NaN,NaN,1.456,A,Ctrl,0.134,NaN,NaN,0.134,I,Ctrl,0.29,NaN,NaN,0.29,NaN,NaN,NaN,NaN,NaN,NaN,0.762,1.456,1,NaN,0.134,1,NaN,0.29,1,152
KeyMultiRepeat,9,585,1,9,2,NaN,1,NaN,1,B,Ctrl,0.818,NaN,NaN,1.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.548,1.118,1,NaN,NaN,NaN,NaN,NaN,NaN,394
KeyMultiRepeat,9,586,1,10,3,NaN,1,NaN,1,I,Ctrl,1.079,NaN,NaN,1.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.917,1.235,1,NaN,NaN,NaN,NaN,NaN,NaN,919
KeyMultiRepeat,9,587,1,11,4,NaN,1,NaN,2,Y,Ctrl,0.791,NaN,NaN,1.036,K,Ctrl,0.193,NaN,NaN,0.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.548,1.036,1,NaN,0.193,1,NaN,NaN,NaN,712
KeyMultiRepeat,9,588,1,12,1,NaN,1,NaN,1,I,Ctrl,0.999,NaN,NaN,1.239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.91,1.239,1,NaN,NaN,NaN,NaN,NaN,NaN,265
KeyMultiRepeat,9,589,2,1,1,NaN,1,NaN,3,I,Ctrl,1.103,NaN,NaN,1.314,K,Ctrl,0.193,NaN,NaN,0.193,A,Ctrl,0.115,NaN,NaN,0.115,NaN,NaN,NaN,NaN,NaN,NaN,0.902,1.314,1,NaN,0.193,1,NaN,0.115,0,247
KeyMultiRepeat,9,590,2,2,2,NaN,1,NaN,2,I,Ctrl,0.94,NaN,NaN,1.147,K,Ctrl,0.166,NaN,NaN,0.166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.796,1.147,1,NaN,0.166,1,NaN,NaN,NaN,220
KeyMultiRepeat,9,591,2,3,2,NaN,1,NaN,3,I,Ctrl,1.036,NaN,NaN,1.253,K,Ctrl,0.179,NaN,NaN,0.179,B,Ctrl,0.139,NaN,NaN,0.139,NaN,NaN,NaN,NaN,NaN,NaN,0.853,1.253,1,NaN,0.179,1,NaN,0.139,1,899
