DesignName,ParticipantID,TrialID,Block1,Letter,Modifier,Size
test1,2,166,66,X,CMD_Alt_Shift,1
test1,2,167,67,X,CMD,1
test1,2,168,68,F,CMD,1
test1,2,169,69,E,CMD_Shift,1
test1,2,170,70,O, ,2
test1,2,171,71,E,Alt,2
test1,2,172,72,F,Alt,1
test1,2,173,73,O,Alt,2
test1,2,174,74,X,CMD_Shift,2
test1,2,175,75,E,CMD,1
test1,2,176,76,X, ,2
test1,2,177,77,F, ,1
test1,2,178,78,F, ,2
test1,2,179,79,F,CMD_Shift,1
test1,2,180,80,M,CMD,1
test1,2,181,81,O,CMD,2
test1,2,182,82,E,Alt,1
test1,2,183,83,M,CMD_Shift,2
test1,2,184,84,X, ,1
test1,2,185,85,O, ,1
test1,2,186,86,M,CMD,2
test1,2,187,87,X,CMD,2
test1,2,188,88,E,CMD,2
test1,2,189,89,O,CMD,1
test1,2,190,90,F,CMD,2
test1,2,191,91,O,Alt,1
test1,2,192,92,O,CMD_Alt_Shift,2
test1,2,193,93,O,CMD_Shift,1
test1,2,194,94,F,CMD_Alt_Shift,2
test1,2,195,95,M,CMD_Alt_Shift,2
test1,2,196,96,M, ,1
test1,2,197,97,X,CMD_Shift,1
test1,2,198,98,M,Alt,2
test1,2,199,99,M,CMD_Shift,1
test1,2,200,100,X,CMD_Alt_Shift,2
