DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,56,3961,1,1,1,NaN,1,NaN,2,A,CMD,2.483,NaN,NaN,2.619,X,CMD,0.373,NaN,NaN,0.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.225,2.619,1,NaN,0.373,0,NaN,NaN,NaN,387
KeyMultiRepeat,56,3962,1,2,2,NaN,1,NaN,1,Y,CMD,1.013,NaN,NaN,1.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.781,1.282,1,NaN,NaN,NaN,NaN,NaN,NaN,861
KeyMultiRepeat,56,3963,1,3,2,NaN,1,NaN,2,Y,CMD,1.102,NaN,NaN,1.368,I,CMD,0.189,NaN,NaN,0.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.82,1.368,1,NaN,0.189,0,NaN,NaN,NaN,787
KeyMultiRepeat,56,3964,1,4,3,NaN,1,NaN,3,X,CMD,1.312,NaN,NaN,2.55,Y,CMD,0.326,NaN,NaN,0.326,A,CMD,0.123,NaN,NaN,0.123,NaN,NaN,NaN,NaN,NaN,NaN,0.958,2.55,1,NaN,0.326,0,NaN,0.123,0,401
KeyMultiRepeat,56,3965,1,5,4,NaN,1,NaN,2,A,CMD,1.032,NaN,NaN,1.212,K,CMD,0.326,NaN,NaN,0.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.731,1.212,1,NaN,0.326,0,NaN,NaN,NaN,633
KeyMultiRepeat,56,3966,1,6,3,NaN,1,NaN,1,I,CMD,1.053,NaN,NaN,2.068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.917,2.068,2,NaN,NaN,NaN,NaN,NaN,NaN,336
KeyMultiRepeat,56,3967,1,7,1,NaN,1,NaN,1,A,CMD,1.055,NaN,NaN,1.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.955,1.142,1,NaN,NaN,NaN,NaN,NaN,NaN,837
KeyMultiRepeat,56,3968,1,8,3,NaN,1,NaN,2,K,CMD,0.918,NaN,NaN,1.038,A,CMD,0.158,NaN,NaN,0.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.555,1.038,1,NaN,0.158,0,NaN,NaN,NaN,747
KeyMultiRepeat,56,3969,1,9,1,NaN,1,NaN,3,Y,CMD,1.435,NaN,NaN,1.727,Y,CMD,0.127,NaN,NaN,0.127,I,CMD,0.156,NaN,NaN,0.156,NaN,NaN,NaN,NaN,NaN,NaN,0.836,1.727,1,NaN,0.127,0,NaN,0.156,0,745
KeyMultiRepeat,56,3970,1,10,2,NaN,1,NaN,3,Y,CMD,2.078,NaN,NaN,2.078,A,CMD,0.893,NaN,NaN,0.893,I,CMD,0.081,NaN,NaN,0.081,NaN,NaN,NaN,NaN,NaN,NaN,1.105,2.078,1,NaN,0.893,0,NaN,0.081,0,402
