DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,6,641,1,1,2,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,268,204,180,178,159,1.304,1.704,1,0.682,1.082,1,-1,-1,-1,575,QWERTY,touchpad
GestureMultiRepeat,6,642,1,2,3,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,52,253,315,325,168,0.957,1.277,1,0.53,0.829,1,-1,-1,-1,406,QWERTY,touchpad
GestureMultiRepeat,6,643,1,3,1,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,53,173,315,327,84,1.23,1.549,1,0.698,1,1,-1,-1,-1,627,QWERTY,touchpad
GestureMultiRepeat,6,644,1,4,1,SW_NW,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,223,124,135,136,121,1.464,1.797,1,0.653,0.966,1,-1,-1,-1,408,QWERTY,touchpad
GestureMultiRepeat,6,645,1,5,2,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,237,142,-1,-1,-1,0.838,1.14,1,-1,-1,-1,-1,-1,-1,727,QWERTY,touchpad
GestureMultiRepeat,6,646,1,6,3,SW_NW,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,239,99,135,145,111,0.981,1.298,1,0.5,0.849,1,-1,-1,-1,546,QWERTY,touchpad
GestureMultiRepeat,6,647,1,7,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,144,-1,-1,-1,2.496,2.762,1,-1,-1,-1,-1,-1,-1,192,QWERTY,touchpad
GestureMultiRepeat,6,648,1,8,1,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,89,84,-1,-1,-1,1.007,1.322,1,-1,-1,-1,-1,-1,-1,784,QWERTY,touchpad
GestureMultiRepeat,6,649,1,9,3,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,85,164,-1,-1,-1,0.755,1.257,1,-1,-1,-1,-1,-1,-1,485,QWERTY,touchpad
GestureMultiRepeat,6,650,1,10,4,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,269,211,180,172,219,0.881,1.198,1,0.543,0.899,1,-1,-1,-1,858,QWERTY,touchpad
GestureMultiRepeat,6,651,1,11,4,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,47,190,315,317,130,0.909,1.232,1,0.501,0.817,1,-1,-1,-1,522,QWERTY,touchpad
GestureMultiRepeat,6,652,1,12,1,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,267,135,180,180,98,1.324,1.608,1,0.846,1.148,1,-1,-1,-1,875,QWERTY,touchpad
GestureMultiRepeat,6,653,1,13,4,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,221,-1,-1,-1,0.671,1.022,1,-1,-1,-1,-1,-1,-1,545,QWERTY,touchpad
GestureMultiRepeat,6,654,1,14,3,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,219,211,-1,-1,-1,1.121,1.507,1,-1,-1,-1,-1,-1,-1,368,QWERTY,touchpad
GestureMultiRepeat,6,655,1,15,4,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,135,-1,-1,-1,0.915,1.412,1,-1,-1,-1,-1,-1,-1,729,QWERTY,touchpad
GestureMultiRepeat,6,656,1,16,4,N_E,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,266,360,360,180,0.96,1.339,1,0.433,0.817,1,-1,-1,-1,717,QWERTY,touchpad
GestureMultiRepeat,6,657,1,17,3,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,269,162,180,175,159,1.08,1.398,1,0.565,0.933,1,-1,-1,-1,281,QWERTY,touchpad
GestureMultiRepeat,6,658,1,18,2,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,49,153,315,325,116,0.937,1.273,1,0.498,0.798,1,-1,-1,-1,424,QWERTY,touchpad
GestureMultiRepeat,6,659,1,19,3,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,48,210,-1,-1,-1,0.992,1.391,1,-1,-1,-1,-1,-1,-1,852,QWERTY,touchpad
GestureMultiRepeat,6,660,1,20,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,121,-1,-1,-1,0.995,1.296,1,-1,-1,-1,-1,-1,-1,580,QWERTY,touchpad
GestureMultiRepeat,6,661,1,21,4,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,44,254,-1,-1,-1,0.766,1.136,1,-1,-1,-1,-1,-1,-1,420,QWERTY,touchpad
GestureMultiRepeat,6,662,1,22,1,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,226,157,-1,-1,-1,0.816,1.199,1,-1,-1,-1,-1,-1,-1,727,QWERTY,touchpad
