DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
GestureMultiRepeat,1,1,1,1,4,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,229,-1,-1,-1,1.766,2.104,1,-1,-1,-1,-1,-1,-1,1276,QWERTY,touchpad
GestureMultiRepeat,1,2,1,2,1,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,32,171,-1,-1,-1,1.133,1.416,1,-1,-1,-1,-1,-1,-1,1312,QWERTY,touchpad
GestureMultiRepeat,1,3,1,3,3,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,202,-1,-1,-1,0.93,1.197,1,-1,-1,-1,-1,-1,-1,419,QWERTY,touchpad
GestureMultiRepeat,1,4,1,4,3,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,41,307,-1,-1,-1,0.68,0.948,1,-1,-1,-1,-1,-1,-1,895,QWERTY,touchpad
GestureMultiRepeat,1,5,1,5,3,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,45,267,315,317,162,1.197,1.449,1,0.416,0.648,1,-1,-1,-1,379,QWERTY,touchpad
GestureMultiRepeat,1,6,1,6,1,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,206,194,-1,-1,-1,1.021,1.272,1,-1,-1,-1,-1,-1,-1,615,QWERTY,touchpad
GestureMultiRepeat,1,7,1,7,3,SW_NW,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,203,163,135,142,161,0.832,1.084,1,0.464,0.683,1,-1,-1,-1,1147,QWERTY,touchpad
GestureMultiRepeat,1,8,1,8,2,SW_NW,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,216,95,135,137,133,0.832,1.066,1,0.55,0.784,1,-1,-1,-1,806,QWERTY,touchpad
GestureMultiRepeat,1,9,1,9,4,SW_NW,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,225,199,135,121,245,0.866,1.316,1,0.383,0.685,1,-1,-1,-1,553,QWERTY,touchpad
GestureMultiRepeat,1,10,1,10,2,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,192,-1,-1,-1,0.731,1,1,-1,-1,-1,-1,-1,-1,870,QWERTY,touchpad
GestureMultiRepeat,1,11,1,11,2,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,37,185,-1,-1,-1,0.623,0.842,1,-1,-1,-1,-1,-1,-1,994,QWERTY,touchpad
GestureMultiRepeat,1,12,1,12,3,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,187,-1,-1,-1,0.613,0.932,1,-1,-1,-1,-1,-1,-1,862,QWERTY,touchpad
GestureMultiRepeat,1,13,1,13,1,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,151,180,180,119,1.816,2.099,1,0.598,0.901,1,-1,-1,-1,1147,QWERTY,touchpad
GestureMultiRepeat,1,14,1,14,4,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,31,315,315,312,206,0.771,1.018,1,5.735,6.037,1,-1,-1,-1,930,QWERTY,touchpad
GestureMultiRepeat,1,15,1,15,1,N_E,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,194,360,360,181,0.983,1.25,1,0.55,0.801,1,-1,-1,-1,679,QWERTY,touchpad
GestureMultiRepeat,1,16,1,16,2,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,291,-1,-1,-1,0.733,0.985,1,-1,-1,-1,-1,-1,-1,937,QWERTY,touchpad
GestureMultiRepeat,1,17,1,17,1,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,269,240,-1,-1,-1,1.148,1.464,1,-1,-1,-1,-1,-1,-1,535,QWERTY,touchpad
GestureMultiRepeat,1,18,1,18,4,S_W,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,241,-1,-1,-1,0.739,1.006,1,-1,-1,-1,-1,-1,-1,1097,QWERTY,touchpad
GestureMultiRepeat,1,19,1,19,4,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,227,180,179,193,0.948,1.231,1,0.499,0.818,1,-1,-1,-1,1262,QWERTY,touchpad
GestureMultiRepeat,1,20,1,20,2,N_E,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,156,360,360,160,1.193,1.491,1,0.452,0.722,1,-1,-1,-1,522,QWERTY,touchpad
GestureMultiRepeat,1,21,1,21,1,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,54,71,315,321,74,1.198,1.465,1,0.552,0.836,1,-1,-1,-1,1315,QWERTY,touchpad
GestureMultiRepeat,1,22,1,22,2,NE_SE,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,52,201,315,314,94,0.931,1.182,1,0.547,0.798,1,-1,-1,-1,1131,QWERTY,touchpad
GestureMultiRepeat,1,23,1,23,3,N_E,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,253,360,366,210,0.682,0.934,1,0.581,0.831,2,-1,-1,-1,791,QWERTY,touchpad
GestureMultiRepeat,1,24,1,24,4,N_E,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,225,360,360,209,0.764,1.017,1,0.401,0.648,1,-1,-1,-1,905,QWERTY,touchpad
GestureMultiRepeat,1,25,1,25,2,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,214,206,-1,-1,-1,0.814,1.082,1,-1,-1,-1,-1,-1,-1,598,QWERTY,touchpad
GestureMultiRepeat,1,26,1,26,4,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,214,244,-1,-1,-1,0.715,0.95,1,-1,-1,-1,-1,-1,-1,837,QWERTY,touchpad
GestureMultiRepeat,1,27,1,27,2,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,205,180,180,192,0.814,1.083,1,0.649,0.9,1,-1,-1,-1,1075,QWERTY,touchpad
GestureMultiRepeat,1,28,1,28,1,N_E,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,90,146,-1,-1,-1,1.032,1.299,1,-1,-1,-1,-1,-1,-1,633,QWERTY,touchpad
GestureMultiRepeat,1,29,1,29,4,NE_SE,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,42,194,-1,-1,-1,0.883,1.216,1,-1,-1,-1,-1,-1,-1,1147,QWERTY,touchpad
GestureMultiRepeat,1,30,1,30,1,SW_NW,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,222,147,135,149,147,1.431,1.681,1,0.617,0.902,1,-1,-1,-1,581,QWERTY,touchpad
GestureMultiRepeat,1,31,1,31,3,SW_NW,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,222,262,-1,-1,-1,0.648,0.881,1,-1,-1,-1,-1,-1,-1,1040,QWERTY,touchpad
GestureMultiRepeat,1,32,1,32,3,S_W,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,270,217,180,180,162,0.816,1.052,1,0.479,0.716,1,-1,-1,-1,820,QWERTY,touchpad
