DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,50,3529,1,1,3,NaN,1,NaN,2,A,Ctrl,2.586,NaN,NaN,2.586,I,Ctrl,1.17,NaN,NaN,1.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.415,2.586,1,NaN,1.762,1,NaN,NaN,NaN,318
KeyMultiRepeat,50,3530,1,2,4,NaN,1,NaN,1,X,Ctrl,1.175,NaN,NaN,1.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.117,1.617,1,NaN,NaN,NaN,NaN,NaN,NaN,321
KeyMultiRepeat,50,3531,1,3,4,NaN,1,NaN,2,Y,Ctrl,0.957,NaN,NaN,1.494,B,Ctrl,0.537,NaN,NaN,0.537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.814,1.494,1,NaN,0.537,1,NaN,NaN,NaN,453
KeyMultiRepeat,50,3532,1,4,1,NaN,1,NaN,3,A,Ctrl,1.033,NaN,NaN,2.287,I,Ctrl,1.044,NaN,NaN,1.044,I,Ctrl,1.615,NaN,NaN,1.615,NaN,NaN,NaN,NaN,NaN,NaN,1.962,2.287,1,NaN,1.044,1,NaN,1.615,1,303
KeyMultiRepeat,50,3533,1,5,2,NaN,1,NaN,2,A,Ctrl,1.853,NaN,NaN,1.853,K,Ctrl,0.448,NaN,NaN,0.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.346,1.853,1,NaN,0.448,1,NaN,NaN,NaN,608
KeyMultiRepeat,50,3534,1,6,1,NaN,1,NaN,1,K,Ctrl,1.943,NaN,NaN,3.701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.216,3.701,2,NaN,NaN,NaN,NaN,NaN,NaN,723
KeyMultiRepeat,50,3535,1,7,3,NaN,1,NaN,1,A,Ctrl,3.226,NaN,NaN,3.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.211,3.718,1,NaN,NaN,NaN,NaN,NaN,NaN,545
KeyMultiRepeat,50,3536,1,8,1,NaN,1,NaN,2,A,Ctrl,1.512,NaN,NaN,2.092,K,Ctrl,1.959,NaN,NaN,2.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.503,2.092,1,NaN,2.568,1,NaN,NaN,NaN,405
KeyMultiRepeat,50,3537,1,9,3,NaN,1,NaN,3,B,Ctrl,2.009,NaN,NaN,2.552,Y,Ctrl,1.81,NaN,NaN,1.81,A,Ctrl,0.646,NaN,NaN,0.646,NaN,NaN,NaN,NaN,NaN,NaN,1.867,2.552,1,NaN,1.81,1,NaN,0.646,1,779
KeyMultiRepeat,50,3538,1,10,4,NaN,1,NaN,3,X,Ctrl,0.996,NaN,NaN,1.891,Y,Ctrl,0.243,NaN,NaN,0.243,X,Ctrl,0.117,NaN,NaN,0.117,NaN,NaN,NaN,NaN,NaN,NaN,0.735,1.891,1,NaN,0.243,1,NaN,0.117,1,481
