DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,60,4249,1,1,2,NaN,1,NaN,3,Y,CMD,5.288,NaN,NaN,5.555,Y,CMD,0.536,NaN,NaN,0.536,I,CMD,1.177,NaN,NaN,1.177,NaN,NaN,NaN,NaN,NaN,NaN,4.952,5.555,1,NaN,0.536,0,NaN,1.177,0,705
KeyMultiRepeat,60,4250,1,2,3,NaN,1,NaN,2,B,CMD,1.855,NaN,NaN,2.063,K,CMD,1.511,NaN,NaN,1.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.529,2.063,1,NaN,1.511,0,NaN,NaN,NaN,745
KeyMultiRepeat,60,4251,1,3,3,NaN,1,NaN,3,I,CMD,3.388,NaN,NaN,4.14,K,CMD,0.343,NaN,NaN,0.343,K,CMD,0.3,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,2.972,4.14,1,NaN,0.343,0,NaN,0.3,0,416
KeyMultiRepeat,60,4252,1,4,1,NaN,1,NaN,1,I,CMD,1.972,NaN,NaN,2.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.689,2.116,1,NaN,NaN,NaN,NaN,NaN,NaN,835
KeyMultiRepeat,60,4253,1,5,1,NaN,1,NaN,3,K,CMD,2.097,NaN,NaN,2.285,Y,CMD,1.489,NaN,NaN,1.72,B,CMD,0.951,NaN,NaN,0.951,NaN,NaN,NaN,NaN,NaN,NaN,1.42,2.285,1,NaN,1.72,1,NaN,0.951,0,930
KeyMultiRepeat,60,4254,1,6,4,NaN,1,NaN,2,A,CMD,2.327,NaN,NaN,2.411,X,CMD,0.304,NaN,NaN,0.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.185,2.411,1,NaN,0.304,0,NaN,NaN,NaN,336
KeyMultiRepeat,60,4255,1,7,2,NaN,1,NaN,2,X,CMD,1.237,NaN,NaN,3.377,A,CMD,0.171,NaN,NaN,0.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.983,3.377,1,NaN,0.171,0,NaN,NaN,NaN,488
KeyMultiRepeat,60,4256,1,8,4,NaN,1,NaN,3,A,CMD,1.357,NaN,NaN,1.576,K,CMD,0.837,NaN,NaN,0.929,Y,CMD,0.584,NaN,NaN,1.02,NaN,NaN,NaN,NaN,NaN,NaN,1.051,1.576,1,NaN,0.929,1,NaN,1.02,1,731
KeyMultiRepeat,60,4257,1,9,3,NaN,1,NaN,1,K,CMD,1.85,NaN,NaN,1.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.099,1.942,1,NaN,NaN,NaN,NaN,NaN,NaN,364
KeyMultiRepeat,60,4258,1,10,4,NaN,1,NaN,1,Y,CMD,2.166,NaN,NaN,2.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.013,2.409,1,NaN,NaN,NaN,NaN,NaN,NaN,339
