DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
KeyMultiRepeat,17,1153,1,1,4,-1,1,-1,2,G,Shift,-1,-1,11.061,11.323,H,Shift,-1,-1,0.583,0.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.323,2,-1,0.95,1,-1,-1,-1,661,QWERTY,touchpad
KeyMultiRepeat,17,1154,1,2,1,-1,1,-1,1,K,Option,-1,2.48,-1,2.671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.671,1,-1,-1,-1,-1,-1,-1,717,QWERTY,touchpad
KeyMultiRepeat,17,1155,1,3,1,-1,1,-1,2,E,CMD,1.618,-1,-1,2.012,E,Option,-1,0.942,-1,1.127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.012,1,-1,1.127,1,-1,-1,-1,707,QWERTY,touchpad
KeyMultiRepeat,17,1156,1,4,2,-1,1,-1,3,F,CMD,1.494,-1,-1,1.8,C,Option,-1,0.736,-1,1.005,J,CMD,0.863,-1,-1,1.106,-1,-1,-1,-1,-1,-1,-1,1.8,1,-1,1.006,1,-1,1.106,1,933,QWERTY,touchpad
KeyMultiRepeat,17,1157,1,5,3,-1,1,-1,2,R,Option,-1,2.229,-1,2.618,D,Option,-1,0.404,-1,0.656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.618,1,-1,0.656,1,-1,-1,-1,1071,QWERTY,touchpad
