DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
KeyMultiModi,61,5761,1,1,3,-1,0,-1,1,A,,-1,-1,-1,8.053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.611,8.053,1,-1,-1,-1,-1,-1,-1,568,AZERTY,touchpad
KeyMultiModi,61,5762,1,2,1,-1,1,-1,1,B,Shift,-1,-1,2.853,2.901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.438,2.901,1,-1,-1,-1,-1,-1,-1,749,AZERTY,touchpad
KeyMultiModi,61,5763,1,3,1,-1,2,-1,1,B,Option + Shift,-1,2.246,2.418,2.647,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.21,2.647,1,-1,-1,-1,-1,-1,-1,556,AZERTY,touchpad
KeyMultiModi,61,5764,1,4,3,-1,2,-1,1,B,Option + Shift,-1,1.703,1.887,2.263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.993,2.263,1,-1,-1,-1,-1,-1,-1,290,AZERTY,touchpad
KeyMultiModi,61,5765,1,5,4,-1,3,-1,1,I,CMD + Option + Shift,2.76,4.395,4.931,5.264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.857,5.264,1,-1,-1,-1,-1,-1,-1,125,AZERTY,touchpad
DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
KeyMultiModi,61,5761,1,1,3,-1,0,-1,1,Y,,-1,-1,-1,1.476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.919,1.476,1,-1,-1,-1,-1,-1,-1,423,AZERTY,touchpad
KeyMultiModi,61,5762,1,2,1,-1,1,-1,1,B,CMD,3.547,-1,-1,3.599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.327,3.599,1,-1,-1,-1,-1,-1,-1,769,AZERTY,touchpad
KeyMultiModi,61,5763,1,3,1,-1,2,-1,1,A,CMD + Option,2.65,2.806,-1,3.242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.55,3.242,1,-1,-1,-1,-1,-1,-1,699,AZERTY,touchpad
KeyMultiModi,61,5764,1,4,3,-1,2,-1,1,B,CMD + Option,1.529,1.714,-1,1.871,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.082,1.871,1,-1,-1,-1,-1,-1,-1,425,AZERTY,touchpad
KeyMultiModi,61,5765,1,5,4,-1,3,-1,1,X,CMD + Option + Shift,3.825,4.132,4.524,4.804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.051,4.804,1,-1,-1,-1,-1,-1,-1,404,AZERTY,touchpad
DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist, keyboardLayout, mouseType
KeyMultiModi,61,5761,1,1,3,-1,0,-1,1,X,,-1,-1,-1,1.606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.895,1.606,1,-1,-1,-1,-1,-1,-1,484,AZERTY,touchpad
KeyMultiModi,61,5762,1,2,1,-1,1,-1,1,Y,Option,-1,3.172,-1,6.856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.005,6.856,3,-1,-1,-1,-1,-1,-1,753,AZERTY,touchpad
KeyMultiModi,61,5763,1,3,1,-1,2,-1,1,I,CMD + Shift,2.261,-1,2.397,2.525,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.73,2.525,1,-1,-1,-1,-1,-1,-1,463,AZERTY,touchpad
KeyMultiModi,61,5764,1,4,3,-1,2,-1,1,I,Option + Shift,-1,3.021,3.229,3.385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.133,3.385,1,-1,-1,-1,-1,-1,-1,213,AZERTY,touchpad
KeyMultiModi,61,5765,1,5,4,-1,3,-1,1,K,CMD + Option + Shift,1.395,1.619,1.875,2.556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.732,2.556,1,-1,-1,-1,-1,-1,-1,448,AZERTY,touchpad
