DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,Repeat,NbAngle
GestureMultiAngle,1,89,3,25,3,SW_NW,2,1,1
GestureMultiAngle,1,90,3,26,3,SW_NW,4,1,1
GestureMultiAngle,1,91,3,27,3,S_W,2,1,2
GestureMultiAngle,1,92,3,28,3,N_E,1,1,1
GestureMultiAngle,1,93,3,29,3,NE_SE,4,1,1
GestureMultiAngle,1,94,3,30,3,SW_NW,1,1,2
GestureMultiAngle,1,95,3,31,3,SW_NW,3,1,1
GestureMultiAngle,1,96,3,32,3,S_W,3,1,2
GestureMultiAngle,1,97,4,1,4,N_E,4,1,1
GestureMultiAngle,1,98,4,2,4,NE_SE,1,1,1
GestureMultiAngle,1,99,4,3,4,S_W,3,1,1
GestureMultiAngle,1,100,4,4,4,NE_SE,3,1,1
GestureMultiAngle,1,101,4,5,4,NE_SE,3,1,2
GestureMultiAngle,1,102,4,6,4,SW_NW,1,1,1
GestureMultiAngle,1,103,4,7,4,SW_NW,3,1,2
GestureMultiAngle,1,104,4,8,4,SW_NW,2,1,2
GestureMultiAngle,1,105,4,9,4,SW_NW,4,1,2
GestureMultiAngle,1,106,4,10,4,S_W,2,1,1
GestureMultiAngle,1,107,4,11,4,NE_SE,2,1,1
GestureMultiAngle,1,108,4,12,4,N_E,3,1,1
GestureMultiAngle,1,109,4,13,4,S_W,1,1,2
GestureMultiAngle,1,110,4,14,4,NE_SE,4,1,2
GestureMultiAngle,1,111,4,15,4,N_E,1,1,2
GestureMultiAngle,1,112,4,16,4,N_E,2,1,1
GestureMultiAngle,1,113,4,17,4,S_W,1,1,1
GestureMultiAngle,1,114,4,18,4,S_W,4,1,1
GestureMultiAngle,1,115,4,19,4,S_W,4,1,2
GestureMultiAngle,1,116,4,20,4,N_E,2,1,2
GestureMultiAngle,1,117,4,21,4,NE_SE,1,1,2
GestureMultiAngle,1,118,4,22,4,NE_SE,2,1,2
