DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,NbDraw,NbAngle
1DrawMultiAngle,1,1,1,1,1,N_E,4,1,1
1DrawMultiAngle,1,2,1,2,1,NE_SE,1,1,1
1DrawMultiAngle,1,3,1,3,1,S_W,3,1,1
1DrawMultiAngle,1,4,1,4,1,NE_SE,3,1,1
1DrawMultiAngle,1,5,1,5,1,NE_SE,3,1,2
1DrawMultiAngle,1,6,1,6,1,SW_NW,1,1,1
1DrawMultiAngle,1,7,1,7,1,SW_NW,3,1,2
1DrawMultiAngle,1,8,1,8,1,SW_NW,2,1,2
1DrawMultiAngle,1,9,1,9,1,SW_NW,4,1,2
1DrawMultiAngle,1,10,1,10,1,S_W,2,1,1
1DrawMultiAngle,1,11,1,11,1,NE_SE,2,1,1
1DrawMultiAngle,1,12,1,12,1,N_E,3,1,1
1DrawMultiAngle,1,13,1,13,1,S_W,1,1,2
1DrawMultiAngle,1,14,1,14,1,NE_SE,4,1,2
1DrawMultiAngle,1,15,1,15,1,N_E,1,1,2
1DrawMultiAngle,1,16,1,16,1,N_E,2,1,1
1DrawMultiAngle,1,17,1,17,1,S_W,1,1,1
1DrawMultiAngle,1,18,1,18,1,S_W,4,1,1
1DrawMultiAngle,1,19,1,19,1,S_W,4,1,2
1DrawMultiAngle,1,20,1,20,1,N_E,2,1,2
1DrawMultiAngle,1,21,1,21,1,NE_SE,1,1,2
1DrawMultiAngle,1,22,1,22,1,NE_SE,2,1,2
1DrawMultiAngle,1,23,1,23,1,N_E,3,1,2
1DrawMultiAngle,1,24,1,24,1,N_E,4,1,2
1DrawMultiAngle,1,25,1,25,1,SW_NW,2,1,1
1DrawMultiAngle,1,26,1,26,1,SW_NW,4,1,1
1DrawMultiAngle,1,27,1,27,1,S_W,2,1,2
1DrawMultiAngle,1,28,1,28,1,N_E,1,1,1
1DrawMultiAngle,1,29,1,29,1,NE_SE,4,1,1
1DrawMultiAngle,1,30,1,30,1,SW_NW,1,1,2
1DrawMultiAngle,1,31,1,31,1,SW_NW,3,1,1
1DrawMultiAngle,1,32,1,32,1,S_W,3,1,2
1DrawMultiAngle,1,33,2,1,2,N_E,4,1,1
1DrawMultiAngle,1,34,2,2,2,NE_SE,1,1,1
1DrawMultiAngle,1,35,2,3,2,S_W,3,1,1
1DrawMultiAngle,1,36,2,4,2,NE_SE,3,1,1
1DrawMultiAngle,1,37,2,5,2,NE_SE,3,1,2
1DrawMultiAngle,1,38,2,6,2,SW_NW,1,1,1
1DrawMultiAngle,1,39,2,7,2,SW_NW,3,1,2
1DrawMultiAngle,1,40,2,8,2,SW_NW,2,1,2
1DrawMultiAngle,1,41,2,9,2,SW_NW,4,1,2
1DrawMultiAngle,1,42,2,10,2,S_W,2,1,1
1DrawMultiAngle,1,43,2,11,2,NE_SE,2,1,1
1DrawMultiAngle,1,44,2,12,2,N_E,3,1,1
1DrawMultiAngle,1,45,2,13,2,S_W,1,1,2
1DrawMultiAngle,1,46,2,14,2,NE_SE,4,1,2
1DrawMultiAngle,1,47,2,15,2,N_E,1,1,2
1DrawMultiAngle,1,48,2,16,2,N_E,2,1,1
1DrawMultiAngle,1,49,2,17,2,S_W,1,1,1
1DrawMultiAngle,1,50,2,18,2,S_W,4,1,1
1DrawMultiAngle,1,51,2,19,2,S_W,4,1,2
1DrawMultiAngle,1,52,2,20,2,N_E,2,1,2
1DrawMultiAngle,1,53,2,21,2,NE_SE,1,1,2
1DrawMultiAngle,1,54,2,22,2,NE_SE,2,1,2
1DrawMultiAngle,1,55,2,23,2,N_E,3,1,2
1DrawMultiAngle,1,56,2,24,2,N_E,4,1,2
1DrawMultiAngle,1,57,2,25,2,SW_NW,2,1,1
1DrawMultiAngle,1,58,2,26,2,SW_NW,4,1,1
1DrawMultiAngle,1,59,2,27,2,S_W,2,1,2
1DrawMultiAngle,1,60,2,28,2,N_E,1,1,1
1DrawMultiAngle,1,61,2,29,2,NE_SE,4,1,1
1DrawMultiAngle,1,62,2,30,2,SW_NW,1,1,2
1DrawMultiAngle,1,63,2,31,2,SW_NW,3,1,1
1DrawMultiAngle,1,64,2,32,2,S_W,3,1,2
1DrawMultiAngle,1,65,3,1,3,N_E,4,1,1
1DrawMultiAngle,1,66,3,2,3,NE_SE,1,1,1
1DrawMultiAngle,1,67,3,3,3,S_W,3,1,1
1DrawMultiAngle,1,68,3,4,3,NE_SE,3,1,1
1DrawMultiAngle,1,69,3,5,3,NE_SE,3,1,2
1DrawMultiAngle,1,70,3,6,3,SW_NW,1,1,1
1DrawMultiAngle,1,71,3,7,3,SW_NW,3,1,2
1DrawMultiAngle,1,72,3,8,3,SW_NW,2,1,2
1DrawMultiAngle,1,73,3,9,3,SW_NW,4,1,2
1DrawMultiAngle,1,74,3,10,3,S_W,2,1,1
1DrawMultiAngle,1,75,3,11,3,NE_SE,2,1,1
1DrawMultiAngle,1,76,3,12,3,N_E,3,1,1
1DrawMultiAngle,1,77,3,13,3,S_W,1,1,2
1DrawMultiAngle,1,78,3,14,3,NE_SE,4,1,2
1DrawMultiAngle,1,79,3,15,3,N_E,1,1,2
1DrawMultiAngle,1,80,3,16,3,N_E,2,1,1
1DrawMultiAngle,1,81,3,17,3,S_W,1,1,1
1DrawMultiAngle,1,82,3,18,3,S_W,4,1,1
1DrawMultiAngle,1,83,3,19,3,S_W,4,1,2
1DrawMultiAngle,1,84,3,20,3,N_E,2,1,2
1DrawMultiAngle,1,85,3,21,3,NE_SE,1,1,2
1DrawMultiAngle,1,86,3,22,3,NE_SE,2,1,2
1DrawMultiAngle,1,87,3,23,3,N_E,3,1,2
1DrawMultiAngle,1,88,3,24,3,N_E,4,1,2
1DrawMultiAngle,1,89,3,25,3,SW_NW,2,1,1
1DrawMultiAngle,1,90,3,26,3,SW_NW,4,1,1
1DrawMultiAngle,1,91,3,27,3,S_W,2,1,2
1DrawMultiAngle,1,92,3,28,3,N_E,1,1,1
1DrawMultiAngle,1,93,3,29,3,NE_SE,4,1,1
1DrawMultiAngle,1,94,3,30,3,SW_NW,1,1,2
1DrawMultiAngle,1,95,3,31,3,SW_NW,3,1,1
1DrawMultiAngle,1,96,3,32,3,S_W,3,1,2
1DrawMultiAngle,2,97,1,1,1,N_E,4,1,2
1DrawMultiAngle,2,98,1,2,1,NE_SE,1,1,2
1DrawMultiAngle,2,99,1,3,1,S_W,3,1,2
1DrawMultiAngle,2,100,1,4,1,NE_SE,3,1,2
1DrawMultiAngle,2,101,1,5,1,NE_SE,4,1,1
1DrawMultiAngle,2,102,1,6,1,SW_NW,1,1,2
1DrawMultiAngle,2,103,1,7,1,SW_NW,4,1,1
1DrawMultiAngle,2,104,1,8,1,SW_NW,3,1,1
1DrawMultiAngle,2,105,1,9,1,N_E,1,1,1
1DrawMultiAngle,2,106,1,10,1,S_W,2,1,2
1DrawMultiAngle,2,107,1,11,1,NE_SE,2,1,2
1DrawMultiAngle,2,108,1,12,1,N_E,3,1,2
1DrawMultiAngle,2,109,1,13,1,S_W,2,1,1
1DrawMultiAngle,2,110,1,14,1,SW_NW,1,1,1
1DrawMultiAngle,2,111,1,15,1,N_E,2,1,1
1DrawMultiAngle,2,112,1,16,1,N_E,2,1,2
1DrawMultiAngle,2,113,1,17,1,S_W,1,1,2
1DrawMultiAngle,2,114,1,18,1,S_W,4,1,2
1DrawMultiAngle,2,115,1,19,1,NE_SE,1,1,1
1DrawMultiAngle,2,116,1,20,1,N_E,3,1,1
1DrawMultiAngle,2,117,1,21,1,NE_SE,2,1,1
1DrawMultiAngle,2,118,1,22,1,NE_SE,3,1,1
1DrawMultiAngle,2,119,1,23,1,N_E,4,1,1
1DrawMultiAngle,2,120,1,24,1,S_W,1,1,1
1DrawMultiAngle,2,121,1,25,1,SW_NW,2,1,2
1DrawMultiAngle,2,122,1,26,1,SW_NW,4,1,2
1DrawMultiAngle,2,123,1,27,1,S_W,3,1,1
1DrawMultiAngle,2,124,1,28,1,N_E,1,1,2
1DrawMultiAngle,2,125,1,29,1,NE_SE,4,1,2
1DrawMultiAngle,2,126,1,30,1,SW_NW,2,1,1
1DrawMultiAngle,2,127,1,31,1,SW_NW,3,1,2
1DrawMultiAngle,2,128,1,32,1,S_W,4,1,1
1DrawMultiAngle,2,129,2,1,2,N_E,4,1,2
1DrawMultiAngle,2,130,2,2,2,NE_SE,1,1,2
1DrawMultiAngle,2,131,2,3,2,S_W,3,1,2
1DrawMultiAngle,2,132,2,4,2,NE_SE,3,1,2
1DrawMultiAngle,2,133,2,5,2,NE_SE,4,1,1
1DrawMultiAngle,2,134,2,6,2,SW_NW,1,1,2
1DrawMultiAngle,2,135,2,7,2,SW_NW,4,1,1
1DrawMultiAngle,2,136,2,8,2,SW_NW,3,1,1
1DrawMultiAngle,2,137,2,9,2,N_E,1,1,1
1DrawMultiAngle,2,138,2,10,2,S_W,2,1,2
1DrawMultiAngle,2,139,2,11,2,NE_SE,2,1,2
1DrawMultiAngle,2,140,2,12,2,N_E,3,1,2
1DrawMultiAngle,2,141,2,13,2,S_W,2,1,1
1DrawMultiAngle,2,142,2,14,2,SW_NW,1,1,1
1DrawMultiAngle,2,143,2,15,2,N_E,2,1,1
1DrawMultiAngle,2,144,2,16,2,N_E,2,1,2
1DrawMultiAngle,2,145,2,17,2,S_W,1,1,2
1DrawMultiAngle,2,146,2,18,2,S_W,4,1,2
1DrawMultiAngle,2,147,2,19,2,NE_SE,1,1,1
1DrawMultiAngle,2,148,2,20,2,N_E,3,1,1
1DrawMultiAngle,2,149,2,21,2,NE_SE,2,1,1
1DrawMultiAngle,2,150,2,22,2,NE_SE,3,1,1
1DrawMultiAngle,2,151,2,23,2,N_E,4,1,1
1DrawMultiAngle,2,152,2,24,2,S_W,1,1,1
1DrawMultiAngle,2,153,2,25,2,SW_NW,2,1,2
1DrawMultiAngle,2,154,2,26,2,SW_NW,4,1,2
1DrawMultiAngle,2,155,2,27,2,S_W,3,1,1
1DrawMultiAngle,2,156,2,28,2,N_E,1,1,2
1DrawMultiAngle,2,157,2,29,2,NE_SE,4,1,2
1DrawMultiAngle,2,158,2,30,2,SW_NW,2,1,1
1DrawMultiAngle,2,159,2,31,2,SW_NW,3,1,2
1DrawMultiAngle,2,160,2,32,2,S_W,4,1,1
1DrawMultiAngle,2,161,3,1,3,N_E,4,1,2
1DrawMultiAngle,2,162,3,2,3,NE_SE,1,1,2
1DrawMultiAngle,2,163,3,3,3,S_W,3,1,2
