1dir,5,321,1,-1,-1,-1,-1,NW,-1,1,QWERTY,touchpad,475.8875917693169,-1,-1,-1,-1,149.8083770390424,63.631753079732135,1.556,1.874,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,322,2,-1,-1,-1,-1,SE,-1,1,QWERTY,touchpad,602.7022482121665,-1,-1,-1,-1,321.581944655178,74.02702209328699,1.331,1.636,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,323,3,-1,-1,-1,-1,N,-1,1,QWERTY,touchpad,576.4000346981253,-1,-1,-1,-1,90,151,1.137,1.423,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,324,4,-1,-1,-1,-1,S,-1,1,QWERTY,touchpad,739.7898350207307,-1,-1,-1,-1,270,260,1.064,1.367,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,325,5,-1,-1,-1,-1,W,-1,2,QWERTY,touchpad,878.0871255177359,-1,-1,-1,-1,179.7000248376961,191.0026177831079,0.806,1.092,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,326,6,-1,-1,-1,-1,SW,-1,2,QWERTY,touchpad,385.1700922968968,-1,-1,-1,-1,226.7357045889284,147.10540438746634,0.806,1.058,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,327,7,-1,-1,-1,-1,NE,-1,2,QWERTY,touchpad,452.74717006293923,-1,-1,-1,-1,58.19467107500304,151.7926216915697,0.882,1.197,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,328,8,-1,-1,-1,-1,E,-1,1,QWERTY,touchpad,965.5552806546086,-1,-1,-1,-1,360,194,1.181,1.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,329,9,-1,-1,-1,-1,N,-1,2,QWERTY,touchpad,409.25786492137206,-1,-1,-1,-1,88.64893491728036,424.11790813404707,0.896,1.199,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,330,10,-1,-1,-1,-1,SW,-1,1,QWERTY,touchpad,377.385744298854,-1,-1,-1,-1,219.88268515002736,101.67103815738285,1.182,1.685,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,331,11,-1,-1,-1,-1,S,-1,2,QWERTY,touchpad,459.6194077712559,-1,-1,-1,-1,269.68691142497937,183.0027322200409,0.814,1.114,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1dir,5,332,12,-1,-1,-1,-1,NE,-1,1,QWERTY,touchpad,396.44041166359415,-1,-1,-1,-1,47.44704864232361,82.80700453464067,0.891,1.34,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
